Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
DSS,A2M,1.114818825,0.826466645,0.677309726,1.503776371,0.152700572,0.711797613,0.476590111,0.999506409,0.526883641,2.22580424,0.323478864
DSS,ABCB1,0.934883541,0.641615461,0.720582439,1.362197901,0.192061086,-0.350582798,0.725901363,0.999506409,0.383597151,3.052527564,0.515112529
DSS,ABCF1,0.858071214,0.639152414,0.512820406,1.151972819,0.150280389,-1.018550617,0.308416359,0.999506409,0.231246302,4.295774077,0.097833821
DSS,ABL1,1.022179831,0.732500752,0.693916358,1.42641711,0.170017587,0.129030392,0.8973336,0.999506409,0.622649887,1.764684876,0.622975514
DSS,ACOT12,0.805956961,0.568084856,0.57534753,1.143432386,0.178452024,-1.208867971,0.226713573,0.999506409,0.619344634,1.779781165,0.937118099
DSS,ACSF3,0.854120181,0.603224533,0.606144854,1.209369386,0.177443273,-0.888641006,0.374196046,0.999506409,0.11339602,5.963572388,0.02506023
DSS,ACTA2,1.203923254,0.901923473,0.705121079,1.607044551,0.147355364,1.25944246,0.207870561,0.999506409,0.616718349,1.791812028,0.525330429
DSS,ACTB,0.854394873,0.628953996,0.531688283,1.160642279,0.156296419,-1.006816487,0.31402297,0.999506409,0.663240905,1.583042487,0.606329932
DSS,ACTR3B,1.01856221,0.694924777,0.797997924,1.492922701,0.195076905,0.094280944,0.924885987,0.999506409,0.641260763,1.680576143,0.581508845
DSS,ACVR1B,0.911535978,0.630588775,0.687065252,1.317654026,0.188001984,-0.492676795,0.622240976,0.999506409,0.650079784,1.641220928,0.907444232
DSS,ACVR1C,0.818723499,0.569284037,0.608174182,1.177458219,0.185394694,-1.078827314,0.280664716,0.999506409,0.351638253,3.271434552,0.525147045
DSS,ACVR2A,0.94682619,0.7218344,0.520112277,1.241946676,0.138431008,-0.394707381,0.693058855,0.999506409,0.606498961,1.83893572,0.814305979
DSS,ACY1,0.927192901,0.639423299,0.70504863,1.344471929,0.18959275,-0.398715897,0.690102553,0.999506409,0.647163908,1.654199136,0.935675274
DSS,ADA,1.045305951,0.70563474,0.842849865,1.548484604,0.200497133,0.220998763,0.825093396,0.999506409,0.636402725,1.702389325,0.671544971
DSS,ADAM12,0.70704698,0.499586807,0.501070987,1.000657794,0.177205166,-1.956253158,0.050435339,0.999506409,0.70607977,1.397675191,0.740226372
DSS,ADGRE1,0.880731228,0.614880619,0.646644744,1.261525363,0.183332129,-0.692746963,0.488468361,0.999506409,0.483642658,2.454103932,0.815045695
DSS,ADGRE5,0.919807657,0.659262979,0.624058171,1.28332115,0.169922544,-0.491934136,0.622765905,0.999506409,0.380306079,3.074331662,0.142923348
DSS,ADH1A.B.C,0.984433753,0.679508585,0.74668357,1.426192155,0.189134464,-0.08294984,0.933891424,0.999506409,0.573936025,1.992638458,0.964881067
DSS,ADH6,0.883779724,0.621161099,0.636268901,1.25743,0.179910134,-0.686717446,0.492260801,0.999506409,0.488635026,2.426963971,0.701262792
DSS,ADM,0.983882617,0.73524722,0.581350759,1.316597979,0.148625079,-0.109326641,0.912943417,0.999506409,0.297788208,3.683028241,0.08020609
DSS,ADORA2A,1.101316974,0.768328917,0.810290669,1.578619586,0.183699331,0.525351464,0.599338888,0.999506409,0.649158184,1.645319284,0.774552577
DSS,AFDN,1.055695235,0.74135617,0.761959612,1.503315781,0.180347012,0.300529184,0.763773539,0.999506409,0.569014046,2.016379507,0.535851294
DSS,AICDA,0.967122411,0.673262152,0.715982374,1.389244525,0.184794363,-0.180904886,0.856442234,0.999506409,0.605188312,1.845015868,0.933404127
DSS,AIRE,1.039575262,0.719902879,0.78129507,1.501197948,0.187478544,0.207022237,0.835992492,0.999506409,0.540150069,2.158593854,0.816067627
DSS,AKAP1,1.0812299,0.778129954,0.72426446,1.502394414,0.167840289,0.465318486,0.641703399,0.999506409,0.074440125,6.921568167,0.069708407
DSS,AKR1C4,0.760620294,0.55124185,0.4982852,1.04952705,0.164268649,-1.665692168,0.095774743,0.999506409,0.588969944,1.92097301,0.728749695
DSS,AKT1,1.054603808,0.7686508,0.678286082,1.446936882,0.161372184,0.329456773,0.741810462,0.999506409,0.399471588,2.949534505,0.690370349
DSS,AKT2,1.086520292,0.737849169,0.862107022,1.59995619,0.197450593,0.420258029,0.674296967,0.999506409,0.389851189,3.011528061,0.149777766
DSS,AKT3,1.303501757,0.865521719,1.097591155,1.963112874,0.208920733,1.268683574,0.204553943,0.999506409,0.718856268,1.343390459,0.803240773
DSS,ALCAM,0.93553925,0.663220392,0.656452072,1.319672463,0.175521465,-0.3796241,0.704224468,0.999506409,0.524393378,2.238559298,0.588541653
