Endpoint,BP,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,BP ZPH P-value
DSS,Amino Acid Synthesis & Transport,1.081989871,0.226781012,4.93547694,5.162257952,0.79724539,0.098842615,0.921263232,0.938979833,0.386128926,0.751097665,0.386128926
DSS,AMPK Signaling,0.675507346,0.20598839,2.009234391,2.215222781,0.605952065,-0.647396501,0.51737536,0.732629055,0.823739052,0.04961243,0.823739052
DSS,Androgen Signaling,0.291105189,0.045643641,1.810961757,1.856605398,0.945333886,-1.305433585,0.191745248,0.693778006,0.604400248,0.268410162,0.604400248
DSS,Angiotensin System,0.916685666,0.582910635,0.858669877,1.441580512,0.230989316,-0.376600321,0.706470649,0.860757343,0.583777743,0.300167004,0.583777743
DSS,Apoptosis,0.111411448,0.011007693,1.116613749,1.127621442,1.180958275,-1.858258024,0.063132382,0.693778006,0.559216121,0.341063277,0.559216121
DSS,Arginine Metabolism,0.746155773,0.391468459,1.030736639,1.422205098,0.329102701,-0.889755349,0.373597267,0.721512632,0.995391585,3.34E-05,0.995391585
DSS,Autophagy,0.126198508,0.013583229,1.158896678,1.172479907,1.13727612,-1.820049779,0.068751425,0.693778006,0.140033664,2.177589198,0.140033664
DSS,B cells,0.822273038,0.505083457,0.833572441,1.338655898,0.248651929,-0.786974695,0.43129668,0.721512632,0.989623297,0.000169147,0.989623297
DSS,BCR Signaling,0.236132491,0.041344821,1.3072776,1.348622421,0.889019333,-1.623544256,0.104473111,0.693778006,0.378198245,0.776550354,0.378198245
DSS,Cancer Antigens,0.805090307,0.466798993,0.921743852,1.388542845,0.278094758,-0.779593355,0.435630268,0.721512632,0.766927942,0.087850385,0.766927942
DSS,Cell Adhesion & Motility,0.537339735,0.135884175,1.988969521,2.124853695,0.701455584,-0.885479773,0.375897924,0.721512632,0.905909464,0.013971158,0.905909464
DSS,Cell Cycle,0.878574104,0.229921776,3.127274176,3.357195953,0.683972318,-0.189269388,0.849881687,0.930512771,0.15658275,2.006921748,0.15658275
DSS,Chemokine Signaling,0.51820232,0.177804234,1.332472762,1.510276996,0.545766462,-1.204525342,0.228386593,0.693778006,0.752511732,0.099432492,0.752511732
DSS,Cilium Assembly,0.805729492,0.280669334,2.032372866,2.3130422,0.538056233,-0.40145843,0.688082638,0.848101856,0.142087922,2.1552002,0.142087922
DSS,Circadian Clock,0.290634211,0.067045516,1.192818659,1.259864175,0.748326878,-1.651270117,0.098683431,0.693778006,0.847636365,0.036915905,0.847636365
DSS,Complement System,0.848739145,0.464463302,1.08648407,1.550947372,0.307592051,-0.533184745,0.5939057,0.777209929,0.792151815,0.069441419,0.792151815
DSS,Cytotoxicity,0.793184402,0.515581271,0.70467542,1.220256691,0.21977995,-1.054234234,0.29177569,0.693778006,0.940510645,0.005569348,0.940510645
DSS,Dendritic Cells,0.818926632,0.485325958,0.896509936,1.381835894,0.26693029,-0.748363109,0.454241168,0.731083977,0.901381496,0.015355265,0.901381496
DSS,Differentiation,0.452915905,0.066977385,2.99574022,3.062717606,0.975197225,-0.812193462,0.41668063,0.721512632,0.846212469,0.037617873,0.846212469
DSS,DNA Damage Repair,0.821889488,0.214329374,2.937372682,3.151702056,0.685773815,-0.286026284,0.77485799,0.889257989,0.13847519,2.194822168,0.13847519
DSS,DNA Sensing,0.329705349,0.093744077,1.065855772,1.159599849,0.641660205,-1.729195446,0.083774121,0.693778006,0.940729396,0.005528389,0.940729396
DSS,EGFR Signaling,0.199985762,0.051062514,0.73217948,0.783241993,0.696541133,-2.310716524,0.020848518,0.693778006,0.352150371,0.865693227,0.352150371
DSS,EMT,0.896788335,0.134942831,5.824835171,5.959778002,0.966328291,-0.112731269,0.91024361,0.938979833,0.970947099,0.00132645,0.970947099
DSS,Endocytosis,0.36805565,0.09723463,1.295941467,1.393176097,0.679148822,-1.47172622,0.141094824,0.693778006,0.660920004,0.192407961,0.660920004
DSS,Epigenetic Modification,0.420681066,0.108444245,1.523477841,1.631922087,0.691665163,-1.251877847,0.210614378,0.693778006,0.553207456,0.351602388,0.553207456
DSS,ERBB2 Signaling,0.319022334,0.046857914,2.12513913,2.171997044,0.978661455,-1.167404886,0.243046899,0.693778006,0.69424619,0.154527007,0.69424619
DSS,Estrogen Signaling,0.341232192,0.04554273,2.511164108,2.556706838,1.027525083,-1.046390142,0.295380942,0.693778006,0.176673003,1.825390206,0.176673003
DSS,Fatty Acid Oxidation,0.756744448,0.469467928,0.750343109,1.219811037,0.243588979,-1.144262224,0.252514905,0.693778006,0.898707132,0.016203948,0.898707132
DSS,Fatty Acid Synthesis,0.863793433,0.380985399,1.577459981,1.95844538,0.417646759,-0.350587232,0.725898037,0.86629812,0.184634483,1.759920088,0.184634483
DSS,FGFR Signaling,0.43015638,0.14765368,1.105511913,1.253165592,0.545560681,-1.546310964,0.122029485,0.693778006,0.504805489,0.444819343,0.504805489
DSS,FoxO Signaling,0.361514628,0.065724948,1.922756278,1.988481226,0.869824105,-1.16972244,0.242112685,0.693778006,0.832252722,0.044864858,0.832252722
DSS,Glioma,0.413351936,0.070564926,2.350748789,2.421313715,0.90193808,-0.979508375,0.327328853,0.693778006,0.516404961,0.421067302,0.516404961
DSS,Glutamine Metabolism,1.094089909,0.342902153,3.147985029,3.490887182,0.591966503,0.15190536,0.879261581,0.938979833,0.511235456,0.431537556,0.511235456
DSS,Glycan Sensing,0.227260315,0.052845649,0.924477023,0.977322672,0.744258953,-1.990784458,0.046504589,0.693778006,0.513567164,0.42679223,0.513567164
DSS,Glycolysis & Glucose Transport,0.814201854,0.184416926,3.410289226,3.594706152,0.757671685,-0.271287643,0.78616981,0.889257989,0.127611887,2.321317658,0.127611887
DSS,Glycosylation,0.229325902,0.045328559,1.114875311,1.16020387,0.827161564,-1.780318621,0.075023831,0.693778006,0.54577338,0.364943678,0.54577338
DSS,GPCR Signaling,0.750660686,0.336394012,1.338699614,1.675093626,0.409533344,-0.700313051,0.483731823,0.732629055,0.786479061,0.07337898,0.786479061
DSS,Hedgehog Signaling,0.139085418,0.016991643,1.121494688,1.138486332,1.072655741,-1.839049514,0.065907904,0.693778006,0.528505212,0.397264815,0.528505212
DSS,HIF-1 Signaling,0.899033095,0.127600632,6.206697993,6.334298624,0.996148165,-0.10684699,0.914910369,0.938979833,0.420450772,0.649054923,0.420450772
DSS,Host Defense Peptides,0.860314484,0.468880731,1.109646519,1.578527251,0.309673838,-0.485857244,0.627068385,0.800834323,0.845960822,0.037742646,0.845960822
DSS,IDH1/2,0.492127558,0.17464567,1.212102323,1.386747994,0.528570307,-1.341386988,0.17979484,0.693778006,0.066353119,3.37100866,0.066353119
