Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
DSS,A2M,1.113658363,0.834336368,0.652156368,1.486492736,0.147333859,0.730656344,0.464989087,0.975782698,0.316484419,1.003419841,0.316484419
DSS,ABCB1,0.896982216,0.638824161,0.620641503,1.259465663,0.173169916,-0.627818309,0.530122971,0.975782698,0.405184064,0.692887218,0.405184064
DSS,ABCF1,0.927417492,0.701235932,0.52531731,1.226553241,0.142634988,-0.528281643,0.59730387,0.975782698,0.132122952,2.267381698,0.132122952
DSS,ABL1,1.109009673,0.823409462,0.670261076,1.493670538,0.151925806,0.681039205,0.495846684,0.975782698,0.702593434,0.145788003,0.702593434
DSS,ACOT12,0.791775549,0.572391739,0.522852091,1.09524383,0.16554097,-1.410389976,0.158424564,0.975782698,0.929916392,0.007735208,0.929916392
DSS,ACSF3,0.855737454,0.609403438,0.592241555,1.201644993,0.17320885,-0.899444009,0.368416207,0.975782698,0.025878541,4.964115917,0.025878541
DSS,ACTA2,1.210105338,0.903929678,0.716057986,1.619987665,0.14883494,1.281334957,0.200076039,0.975782698,0.627332773,0.235695107,0.627332773
DSS,ACTB,0.90908255,0.686642664,0.516939819,1.203582483,0.143177063,-0.665744731,0.505574277,0.975782698,0.625384302,0.238372167,0.625384302
DSS,ACTR3B,0.990906583,0.70790083,0.67915201,1.387052839,0.171593077,-0.0532365,0.957543474,0.987855161,0.605770673,0.266379747,0.605770673
DSS,ACVR1B,0.854332476,0.605975025,0.598503623,1.204478648,0.175248966,-0.898349638,0.368999177,0.975782698,0.949670911,0.00398414,0.949670911
DSS,ACVR1C,0.796304026,0.573261567,0.532865442,1.106127009,0.167676018,-1.358418612,0.174330892,0.975782698,0.408591163,0.682896332,0.408591163
DSS,ACVR2A,0.98549106,0.745134662,0.558244014,1.303378676,0.142642977,-0.102460173,0.918391424,0.987855161,0.84490329,0.038269341,0.84490329
DSS,ACY1,0.897770852,0.624281153,0.666791786,1.291072939,0.185367706,-0.581764869,0.560725071,0.975782698,0.962032607,0.00226605,0.962032607
DSS,ADA,0.985171497,0.701529049,0.681967303,1.383496351,0.173244728,-0.086233759,0.931280595,0.987855161,0.774296554,0.082230952,0.774296554
DSS,ADAM12,0.692257846,0.4962453,0.469448328,0.965693628,0.169844005,-2.165497587,0.0303496,0.975782698,0.816566079,0.053807235,0.816566079
DSS,ADGRE1,0.852462018,0.621919602,0.546545728,1.168465329,0.160879399,-0.992212957,0.321093653,0.975782698,0.707983276,0.140299675,0.707983276
DSS,ADGRE5,0.887859471,0.650845099,0.560340853,1.211185952,0.158442609,-0.750693282,0.452837267,0.975782698,0.17150452,1.869742969,0.17150452
DSS,ADH1A.B.C,0.929215136,0.668655409,0.622653624,1.291309033,0.16789668,-0.437262895,0.661920702,0.975782698,0.882662043,0.021784418,0.882662043
DSS,ADH6,0.86275719,0.62741803,0.558952036,1.186370066,0.162513325,-0.908368486,0.36368357,0.975782698,0.624757063,0.239237933,0.624757063
DSS,ADM,1.021487482,0.772678109,0.577737623,1.350415732,0.142427421,0.149268169,0.881342032,0.987855161,0.090697753,2.8619453,0.090697753
DSS,ADORA2A,1.02689578,0.742191206,0.678621833,1.420813039,0.165660608,0.160209755,0.872715845,0.987855161,0.915264104,0.011321199,0.915264104
DSS,AFDN,1.095087607,0.770574748,0.78568812,1.556262868,0.179316041,0.506560182,0.612463453,0.975782698,0.522892417,0.408184512,0.522892417
DSS,AICDA,0.921985903,0.661045264,0.624884842,1.285930106,0.169751904,-0.478494454,0.632298321,0.975782698,0.783907167,0.075202598,0.783907167
DSS,AIRE,0.987417495,0.706068649,0.674807435,1.380876083,0.171115632,-0.073998703,0.941011418,0.987855161,0.667496845,0.184544106,0.667496845
DSS,AKAP1,1.06731075,0.785281087,0.665348828,1.450629915,0.156561917,0.416079261,0.677352005,0.975782698,0.061565699,3.494696301,0.061565699
DSS,AKR1C4,0.767654077,0.557267639,0.500200516,1.057468155,0.163418098,-1.618034183,0.105655231,0.975782698,0.666962678,0.185175542,0.666962678
DSS,AKT1,1.099808036,0.827738109,0.633566746,1.461304855,0.144999665,0.656109463,0.511753696,0.975782698,0.676984376,0.173540337,0.676984376
DSS,AKT2,1.119168472,0.779124139,0.828499095,1.607623234,0.184784448,0.609282735,0.542337049,0.975782698,0.191294346,1.707620835,0.191294346
DSS,AKT3,1.332782685,0.892654018,1.097265537,1.989919555,0.204506417,1.404694312,0.160112198,0.975782698,0.802794344,0.062366243,0.802794344
DSS,ALCAM,0.898915769,0.644865729,0.608185136,1.253050865,0.169465977,-0.628833848,0.529457838,0.975782698,0.584883387,0.298406093,0.584883387
DSS,ALDOA,1.062116461,0.785131183,0.651687784,1.436818967,0.154170201,0.390889926,0.6958786,0.975782698,0.30567115,1.049287887,0.30567115
DSS,ALDOC,0.882863055,0.606032115,0.680116183,1.286148298,0.191961241,-0.649012171,0.51633051,0.975782698,0.070649962,3.267854568,0.070649962
DSS,ALK,0.872157536,0.634623031,0.563976344,1.198599375,0.162216704,-0.843225185,0.399102516,0.975782698,0.890118398,0.019086637,0.890118398
DSS,ALKBH2,0.951494943,0.695187828,0.607111479,1.302299307,0.160131671,-0.310500148,0.756180647,0.976289835,0.337434684,0.920153453,0.337434684
DSS,ALKBH3,0.897894106,0.637781102,0.626310641,1.264091743,0.174522092,-0.617131841,0.537147768,0.975782698,0.500495603,0.453885375,0.500495603
DSS,AMBP,0.929690461,0.671354485,0.616079163,1.287433648,0.166102237,-0.43890791,0.660728265,0.975782698,0.796455924,0.066531232,0.796455924
DSS,AMER1,0.806831707,0.580009166,0.542347931,1.122357096,0.168406767,-1.27453414,0.202474181,0.975782698,0.892041012,0.018420476,0.892041012
DSS,AMH,1.113591066,0.821112323,0.689137892,1.510250215,0.155454568,0.692099238,0.48887501,0.975782698,0.839131738,0.041210711,0.839131738
DSS,ANGPT1,1.0161888,0.721674171,0.709220433,1.430894604,0.174615804,0.09196853,0.926723043,0.987855161,0.347751356,0.88164561,0.347751356
DSS,ANGPT2,0.885520957,0.664925932,0.514374389,1.179300321,0.146176395,-0.831729059,0.405561894,0.975782698,0.577090809,0.310961435,0.577090809
DSS,ANGPTL4,0.915638529,0.673668778,0.570850699,1.244519477,0.15657589,-0.562881116,0.57351584,0.975782698,0.353539342,0.860712638,0.353539342
DSS,ANKRD28,0.770625069,0.561714121,0.495519398,1.057233519,0.161334049,-1.614992734,0.106312268,0.975782698,0.929768766,0.007767914,0.929768766
DSS,ANLN,0.920915374,0.702566736,0.504557205,1.207123941,0.138077921,-0.59667129,0.550726864,0.975782698,0.199177617,1.648394292,0.199177617
DSS,ANP32B,1.039533043,0.778929373,0.608396595,1.387325968,0.147250928,0.263303026,0.792317028,0.976578192,0.363326647,0.826361867,0.363326647
DSS,ANXA1,1.173396661,0.845165958,0.783933877,1.629099835,0.167413761,0.955134576,0.339509646,0.975782698,0.476894202,0.505957219,0.476894202
DSS,APC,0.875393691,0.642579561,0.549979556,1.192559117,0.157749367,-0.843626594,0.398878099,0.975782698,0.670712303,0.180770052,0.670712303
DSS,APH1B,0.840386577,0.643750576,0.453335198,1.097085774,0.135997729,-1.278648429,0.201020888,0.975782698,0.866840623,0.028114199,0.866840623
DSS,API5,1.200880417,0.814460393,0.956176693,1.770637086,0.198107951,0.924016266,0.355477847,0.975782698,0.083797936,2.989656627,0.083797936
DSS,APLNR,0.845916731,0.6142234,0.550784504,1.165007904,0.163300053,-1.024704818,0.305502489,0.975782698,0.621435074,0.243855722,0.621435074
DSS,APOA1,0.890170961,0.644521952,0.584923123,1.229445075,0.164750299,-0.706170152,0.48008233,0.975782698,0.963108638,0.002139336,0.963108638
DSS,APOA2,0.967849449,0.687255037,0.675750696,1.363005733,0.174682338,-0.187075191,0.851601679,0.98321246,0.982529173,0.000479531,0.982529173
DSS,APOA4,0.857708504,0.623990346,0.554976416,1.178966763,0.162313904,-0.945642807,0.344330803,0.975782698,0.973735965,0.001083926,0.973735965
DSS,APOB,0.835878437,0.608222188,0.540523738,1.148745926,0.162218764,-1.105125464,0.269105228,0.975782698,0.685049561,0.164496974,0.685049561
DSS,APOC2,0.866328871,0.644123864,0.521064626,1.16518849,0.151213775,-0.948926013,0.342658243,0.975782698,0.644362891,0.213081386,0.644362891
DSS,APOC3,0.839138428,0.589590623,0.604718232,1.194308855,0.180078436,-0.973906696,0.330102869,0.975782698,0.953804741,0.003355833,0.953804741
DSS,APOE,1.081206629,0.796055683,0.672444322,1.468500005,0.156208895,0.499828556,0.617195802,0.975782698,0.599752137,0.275369894,0.599752137
DSS,APOL6,0.858780322,0.607350314,0.606946649,1.214296963,0.17674172,-0.861381949,0.389027715,0.975782698,0.159290852,1.980945348,0.159290852
DSS,APOM,0.909036363,0.648537704,0.625632023,1.274169727,0.172281204,-0.553572766,0.579871269,0.975782698,0.973422335,0.001109978,0.973422335
DSS,APP,1.177421822,0.812844629,0.892674603,1.705519232,0.189055743,0.863910023,0.38763732,0.975782698,0.877721539,0.023672347,0.877721539
DSS,AQP9,0.840803241,0.620592627,0.518560594,1.139153221,0.154943053,-1.119105389,0.263095181,0.975782698,0.848751348,0.036371013,0.848751348
DSS,AR,0.718455896,0.51765492,0.479493672,0.997148591,0.167245664,-1.97703756,0.048037385,0.975782698,0.825520455,0.048598346,0.825520455
DSS,AREG,0.899938209,0.652687681,0.588164266,1.240851947,0.163894528,-0.643274525,0.520045983,0.975782698,0.796465051,0.066525131,0.796465051
DSS,ARG1,0.844237829,0.617213533,0.537552969,1.154766502,0.159808649,-1.059523605,0.289361385,0.975782698,0.758996222,0.094125745,0.758996222
DSS,ARG2,1.028275075,0.746411031,0.670167215,1.416578246,0.163452781,0.170585741,0.864549511,0.987425028,0.154185838,2.030342689,0.154185838
DSS,ARID1A,0.991903081,0.740013493,0.589518647,1.32953214,0.149470595,-0.054391144,0.956623534,0.987855161,0.558690006,0.341977471,0.558690006
DSS,ARID1B,0.875860558,0.640084075,0.558401792,1.198485867,0.160006697,-0.828392706,0.407448136,0.975782698,0.902034765,0.015151479,0.902034765
DSS,ARID2,1.057407225,0.725990121,0.814127309,1.54011743,0.19186004,0.290940718,0.771096659,0.976578192,0.457306656,0.55247872,0.457306656
DSS,ARMH3,0.699998896,0.499440434,0.48165445,0.981094884,0.172243174,-2.070773035,0.038380011,0.975782698,0.444467985,0.584720438,0.444467985
DSS,ARNT,0.995339377,0.724408817,0.64318977,1.367598587,0.162109032,-0.028817136,0.977010434,0.996099448,0.179690649,1.800180711,0.179690649
DSS,ARNT2,0.939064788,0.696012847,0.570979107,1.266991954,0.152817275,-0.411411634,0.680770724,0.975782698,0.564899669,0.331291372,0.564899669
DSS,ASCL1,1.008155227,0.732606543,0.654737006,1.387343549,0.162895162,0.04986123,0.960232973,0.989539904,0.907587538,0.013475036,0.907587538
DSS,ASL,0.849346952,0.623019008,0.534875431,1.157894438,0.158110422,-1.032743538,0.301723933,0.975782698,0.27865934,1.173616753,0.27865934
DSS,ASNS,1.408117969,1.002845226,0.974325491,1.977170717,0.173173005,1.97637062,0.048112817,0.975782698,0.250668126,1.319576186,0.250668126
DSS,ASPA,0.804101963,0.58482671,0.520765692,1.105592402,0.162457322,-1.342070617,0.1795731,0.975782698,0.809126177,0.058348081,0.809126177
DSS,ASPG,0.879617323,0.647782345,0.546641433,1.194423778,0.156090726,-0.821754946,0.411216381,0.975782698,0.749808764,0.101691811,0.749808764
DSS,ASXL1,1.381778435,0.95316361,1.04996746,2.00313107,0.189462717,1.706781133,0.087862741,0.975782698,0.174110963,1.847186608,0.174110963
DSS,ATF1,0.734969354,0.538474855,0.464691677,1.003166531,0.158721286,-1.940045243,0.052374192,0.975782698,0.590331522,0.289826832,0.590331522
DSS,ATF2,0.864464189,0.626324312,0.566824859,1.193149171,0.164411987,-0.885856328,0.375694952,0.975782698,0.24261856,1.365314453,0.24261856
DSS,ATF3,1.210284577,0.87086003,0.811142482,1.682002512,0.167926318,1.136543229,0.255729284,0.975782698,0.109961137,2.554779759,0.109961137
DSS,ATG10,0.818203237,0.599222913,0.517984927,1.11720784,0.158919803,-1.262552015,0.206750222,0.975782698,0.702477994,0.145906872,0.702477994
DSS,ATG12,0.942234539,0.695557153,0.580838212,1.276395365,0.154870723,-0.384198216,0.70083154,0.975782698,0.814137941,0.055267877,0.814137941
DSS,ATG16L1,0.968984097,0.712459267,0.605412818,1.317872085,0.156903627,-0.200805296,0.840850821,0.979248328,0.486272984,0.484762497,0.486272984
DSS,ATG5,0.858891784,0.659545688,0.45894407,1.118489758,0.134743133,-1.128906086,0.258937453,0.975782698,0.105947661,2.613649913,0.105947661
DSS,ATG7,0.974833299,0.740433934,0.543002599,1.283436532,0.140324043,-0.181642417,0.855863358,0.983842926,0.557387821,0.344247262,0.557387821
DSS,ATM,1.073867106,0.74885965,0.791069175,1.539928825,0.183916618,0.387492181,0.698391873,0.975782698,0.151759677,2.054473785,0.151759677
DSS,ATOX1,0.763768896,0.555726361,0.493968179,1.04969454,0.162242387,-1.661033424,0.096706734,0.975782698,0.464622284,0.534736574,0.464622284
DSS,ATP11C,1.163716769,0.827228853,0.80984741,1.637076263,0.174132225,0.870711863,0.383911499,0.975782698,0.89302417,0.018084481,0.89302417
DSS,ATP2A2,1.016145763,0.741674493,0.650516045,1.392190538,0.160646639,0.099702094,0.920580838,0.987855161,0.879503215,0.02298226,0.879503215
DSS,ATP5F1D,0.954846556,0.691978442,0.625594319,1.317572761,0.164286617,-0.281244002,0.778523258,0.976578192,0.159585679,1.978147694,0.159585679
DSS,ATP5ME,0.979910081,0.726370698,0.595576579,1.321947278,0.152758075,-0.132853635,0.894309136,0.987855161,0.415335805,0.66347502,0.415335805
DSS,ATR,1.175108413,0.782761245,0.981352385,1.76411363,0.207293586,0.778414871,0.436324475,0.975782698,0.010850965,6.489562958,0.010850965
DSS,ATRX,1.218593249,0.841770172,0.922333091,1.764103262,0.188751109,1.047395798,0.294917069,0.975782698,0.445917851,0.581007073,0.445917851
DSS,AURKA,0.991235724,0.749330538,0.561904239,1.311234777,0.142743531,-0.061669399,0.950826109,0.987855161,0.491117303,0.474077459,0.491117303
DSS,AURKB,0.946637295,0.696888494,0.589001826,1.28589032,0.156273585,-0.350918316,0.72564963,0.975782698,0.42573228,0.634437462,0.42573228
DSS,AXIN1,1.018917155,0.767786001,0.584403499,1.3521895,0.144382592,0.12979716,0.89672691,0.987855161,0.931978283,0.007285666,0.931978283
DSS,AXIN2,1.080317475,0.760871237,0.773009648,1.533880886,0.178853334,0.431945856,0.665780765,0.975782698,0.190569862,1.713206571,0.190569862
DSS,AXL,0.922151503,0.687149581,0.550373394,1.237522976,0.15008313,-0.54000572,0.589193087,0.975782698,0.328222846,0.955896799,0.328222846
DSS,B2M,0.964183371,0.700077328,0.627846797,1.327924125,0.163314581,-0.223334517,0.823275165,0.979248328,0.204675471,1.608694083,0.204675471
DSS,BAD,0.813580748,0.626815493,0.429178879,1.055994372,0.133060074,-1.550503398,0.121020739,0.975782698,0.470569411,0.520638575,0.470569411
DSS,BAG1,1.034569771,0.740433819,0.705116862,1.445550681,0.170668791,0.199132248,0.842159296,0.979248328,0.34087001,0.9071565,0.34087001
DSS,BAGE,0.987303429,0.693834948,0.711064102,1.404899051,0.179974384,-0.070998223,0.943399169,0.987855161,0.901086052,0.015447882,0.901086052
DSS,BAIAP3,1.169453721,0.849301102,0.760989998,1.6102911,0.16320618,0.959134849,0.337490816,0.975782698,0.659417376,0.194232097,0.659417376
DSS,BAMBI,1.03516334,0.744777189,0.693992896,1.438770086,0.167977276,0.205737535,0.836995937,0.979248328,0.314963955,1.009744923,0.314963955
DSS,BAP1,0.80541031,0.578309864,0.543382515,1.121692379,0.16900414,-1.2804623,0.200382595,0.975782698,0.156912007,2.003736313,0.156912007
DSS,BATF,0.908114879,0.65379722,0.607561207,1.261358427,0.167642696,-0.574939391,0.565332288,0.975782698,0.558657581,0.342033868,0.558657581
DSS,BATF3,1.061914963,0.763475672,0.713537192,1.477012864,0.168343841,0.356852064,0.721202558,0.975782698,0.961690107,0.002307149,0.961690107
DSS,BAX,0.915651877,0.691073315,0.52213857,1.213211885,0.143569132,-0.613774235,0.539364525,0.975782698,0.809521646,0.058101817,0.809521646
