Class,Biological Process,Gene
Adaptive Immunity,B cells,ADA 
Adaptive Immunity,B cells,AICDA 
Adaptive Immunity,B cells,BLK 
Adaptive Immunity,B cells,CD19 
Adaptive Immunity,B cells,CD1D 
Adaptive Immunity,B cells,CD22 
Adaptive Immunity,B cells,CD24 
Adaptive Immunity,B cells,CD27 
Adaptive Immunity,B cells,CD274 
Adaptive Immunity,B cells,CD37 
Adaptive Immunity,B cells,CD38 
Adaptive Immunity,B cells,CD3E 
Adaptive Immunity,B cells,CD40 
Adaptive Immunity,B cells,CD5 
Adaptive Immunity,B cells,CD70 
Adaptive Immunity,B cells,CD79A 
Adaptive Immunity,B cells,CD79B 
Adaptive Immunity,B cells,CD80 
Adaptive Immunity,B cells,CD86 
Adaptive Immunity,B cells,CR2 
Adaptive Immunity,B cells,CTLA4 
Adaptive Immunity,B cells,CXCR5 
Adaptive Immunity,B cells,FAM30A 
Adaptive Immunity,B cells,FAS 
Adaptive Immunity,B cells,FCER2 
Adaptive Immunity,B cells,FCRL2 
Adaptive Immunity,B cells,IGLL1 
Adaptive Immunity,B cells,IL11 
Adaptive Immunity,B cells,IRF4 
Adaptive Immunity,B cells,MS4A1 
Adaptive Immunity,B cells,PNOC 
Adaptive Immunity,B cells,PTPRC 
Adaptive Immunity,B cells,RAG1 
Adaptive Immunity,B cells,SOCS1 
Adaptive Immunity,B cells,SPIB 
Adaptive Immunity,B cells,TNFRSF14 
Adaptive Immunity,B cells,TNFSF18
Adaptive Immunity,BCR Signaling,AKT1 
Adaptive Immunity,BCR Signaling,AKT2 
Adaptive Immunity,BCR Signaling,AKT3 
Adaptive Immunity,BCR Signaling,BCL10 
Adaptive Immunity,BCR Signaling,BLK 
Adaptive Immunity,BCR Signaling,BLNK 
Adaptive Immunity,BCR Signaling,BTK 
Adaptive Immunity,BCR Signaling,CARD11 
Adaptive Immunity,BCR Signaling,CD19 
Adaptive Immunity,BCR Signaling,CD22 
Adaptive Immunity,BCR Signaling,CD79A 
Adaptive Immunity,BCR Signaling,CD79B 
Adaptive Immunity,BCR Signaling,CD81 
Adaptive Immunity,BCR Signaling,CHUK 
Adaptive Immunity,BCR Signaling,CR2 
Adaptive Immunity,BCR Signaling,CUL1 
Adaptive Immunity,BCR Signaling,FOS 
Adaptive Immunity,BCR Signaling,FYN 
Adaptive Immunity,BCR Signaling,GRB2 
Adaptive Immunity,BCR Signaling,GSK3B 
Adaptive Immunity,BCR Signaling,HRAS 
Adaptive Immunity,BCR Signaling,IFITM1 
Adaptive Immunity,BCR Signaling,IKBKB 
Adaptive Immunity,BCR Signaling,IKBKG 
Adaptive Immunity,BCR Signaling,INPP5D 
Adaptive Immunity,BCR Signaling,JUN 
Adaptive Immunity,BCR Signaling,KRAS 
Adaptive Immunity,BCR Signaling,LILRA1 
Adaptive Immunity,BCR Signaling,LILRA3 
Adaptive Immunity,BCR Signaling,LILRA4 
Adaptive Immunity,BCR Signaling,LILRA5 
Adaptive Immunity,BCR Signaling,LILRB1 
Adaptive Immunity,BCR Signaling,LILRB2 
Adaptive Immunity,BCR Signaling,LILRB3 
Adaptive Immunity,BCR Signaling,LILRB4 
Adaptive Immunity,BCR Signaling,LYN 
Adaptive Immunity,BCR Signaling,MAP2K1 
Adaptive Immunity,BCR Signaling,MAP2K2 
Adaptive Immunity,BCR Signaling,MAP3K7 
Adaptive Immunity,BCR Signaling,MAPK1 
Adaptive Immunity,BCR Signaling,MAPK3 
Adaptive Immunity,BCR Signaling,NFATC1 
Adaptive Immunity,BCR Signaling,NFATC2 
Adaptive Immunity,BCR Signaling,NFATC3 
Adaptive Immunity,BCR Signaling,NFKB1 
Adaptive Immunity,BCR Signaling,NFKBIA 
Adaptive Immunity,BCR Signaling,NFKBIE 
Adaptive Immunity,BCR Signaling,NRAS 
Adaptive Immunity,BCR Signaling,PIK3CA 
Adaptive Immunity,BCR Signaling,PIK3CB 
Adaptive Immunity,BCR Signaling,PIK3CD 
Adaptive Immunity,BCR Signaling,PIK3R1 
Adaptive Immunity,BCR Signaling,PIK3R2 
Adaptive Immunity,BCR Signaling,PIK3R3 
Adaptive Immunity,BCR Signaling,PLCG2 
Adaptive Immunity,BCR Signaling,PPP3CA 
Adaptive Immunity,BCR Signaling,PPP3CB 
Adaptive Immunity,BCR Signaling,PPP3CC 
Adaptive Immunity,BCR Signaling,PPP3R1 
Adaptive Immunity,BCR Signaling,PPP3R2 
Adaptive Immunity,BCR Signaling,PRKCB 
Adaptive Immunity,BCR Signaling,PSMB10 
Adaptive Immunity,BCR Signaling,PSMB2 
Adaptive Immunity,BCR Signaling,PSMB5 
Adaptive Immunity,BCR Signaling,PSMB7 
Adaptive Immunity,BCR Signaling,PSMB8 
Adaptive Immunity,BCR Signaling,PSMB9 
Adaptive Immunity,BCR Signaling,PSMC4 
Adaptive Immunity,BCR Signaling,PSMD7 
Adaptive Immunity,BCR Signaling,RAC1 
Adaptive Immunity,BCR Signaling,RAC2 
Adaptive Immunity,BCR Signaling,RAC3 
Adaptive Immunity,BCR Signaling,RAF1 
Adaptive Immunity,BCR Signaling,RASGRP1 
Adaptive Immunity,BCR Signaling,REL 
Adaptive Immunity,BCR Signaling,RELA 
Adaptive Immunity,BCR Signaling,RPS27A 
Adaptive Immunity,BCR Signaling,SKP1 
Adaptive Immunity,BCR Signaling,SOS1 
Adaptive Immunity,BCR Signaling,SOS2 
Adaptive Immunity,BCR Signaling,SYK 
Adaptive Immunity,BCR Signaling,UBB 
Adaptive Immunity,BCR Signaling,UBC
Adaptive Immunity,Cancer Antigens,BAGE 
Adaptive Immunity,Cancer Antigens,CT45A1 
Adaptive Immunity,Cancer Antigens,CTAG1B 
Adaptive Immunity,Cancer Antigens,CTAGE1 
Adaptive Immunity,Cancer Antigens,CTCFL 
Adaptive Immunity,Cancer Antigens,GAGE1 
Adaptive Immunity,Cancer Antigens,MAGEA1 
Adaptive Immunity,Cancer Antigens,MAGEA12 
Adaptive Immunity,Cancer Antigens,MAGEA3/6
Adaptive Immunity,Cancer Antigens,MAGEA4 
